CODIGO;NOMBRE 
01051;Agurain/Salvatierra
01001;Alegría-Dulantzi
01002;Amurrio
01049;Añana
01003;Aramaio
01006;Armiñón
01037;Arraia-Maeztu
01008;Arratzua-Ubarrundia
01004;Artziniega
01009;Asparrena
01010;Ayala/Aiara
01011;Baños de Ebro/Mañueta
01013;Barrundia
01014;Berantevilla
01016;Bernedo
01017;Campezo/Kanpezu
01021;Elburgo/Burgelu
01022;Elciego
01023;Elvillar/Bilar
01047;Erriberabeitia
01046;Erriberagoitia/Ribera Alta
01056;Harana/Valle de Arana
01901;Iruña Oka/Iruña de Oca
01027;Iruraiz-Gauna
01019;Kripan
01020;Kuartango
01028;Labastida/Bastida
01030;Lagrán
01031;Laguardia
01032;Lanciego/Lantziego
01902;Lantarón
01033;Lapuebla de Labarca
01036;Laudio/Llodio
01058;Legutio
01034;Leza
01039;Moreda de Álava/Moreda Araba
01041;Navaridas
01042;Okondo
01043;Oyón-Oion
01044;Peñacerrada-Urizaharra
01052;Samaniego
01053;San Millán/Donemiliaga
01054;Urkabustaiz
01055;Valdegovía/Gaubea
01057;Villabuena de Álava/Eskuernaga
01059;Vitoria-Gasteiz
01060;Yécora/Iekora
01061;Zalduondo
01062;Zambrana
01018;Zigoitia
01063;Zuia
02001;Abengibre
02002;Alatoz
02003;Albacete
02004;Albatana
02005;Alborea
02006;Alcadozo
02007;Alcalá del Júcar
02008;Alcaraz
02009;Almansa
02010;Alpera
02011;Ayna
02012;Balazote
02014;Ballestero, El
02013;Balsa de Ves
02015;Barrax
02016;Bienservida
02017;Bogarra
02018;Bonete
02019;Bonillo, El
02020;Carcelén
02021;Casas de Juan Núñez
02022;Casas de Lázaro
02023;Casas de Ves
02024;Casas-Ibáñez
02025;Caudete
02026;Cenizate
02029;Chinchilla de Monte-Aragón
02027;Corral-Rubio
02028;Cotillas
02030;Elche de la Sierra
02031;Férez
02032;Fuensanta
02033;Fuente-Álamo
02034;Fuentealbilla
02035;Gineta, La
02036;Golosalvo
02037;Hellín
02038;Herrera, La
02039;Higueruela
02040;Hoya-Gonzalo
02041;Jorquera
02042;Letur
02043;Lezuza
02044;Liétor
02045;Madrigueras
02046;Mahora
02047;Masegoso
02048;Minaya
02049;Molinicos
02050;Montalvos
02051;Montealegre del Castillo
02052;Motilleja
02053;Munera
02054;Navas de Jorquera
02055;Nerpio
02056;Ontur
02057;Ossa de Montiel
02058;Paterna del Madera
02060;Peñas de San Pedro
02059;Peñascosa
02061;Pétrola
02062;Povedilla
02901;Pozo Cañada
02063;Pozohondo
02064;Pozo-Lorente
02065;Pozuelo
02066;Recueja, La
02067;Riópar
02068;Robledo
02069;Roda, La
02070;Salobre
02071;San Pedro
02072;Socovos
02073;Tarazona de la Mancha
02074;Tobarra
02075;Valdeganga
02076;Vianos
02077;Villa de Ves
02078;Villalgordo del Júcar
02079;Villamalea
02080;Villapalacios
02081;Villarrobledo
02082;Villatoya
02083;Villavaliente
02084;Villaverde de Guadalimar
02085;Viveros
02086;Yeste
03002;Agost
03003;Agres
03004;Aigües
03005;Albatera
03006;Alcalalí
03007;Alcocer de Planes
03008;Alcoleja
03009;Alcoy/Alcoi
03010;Alfafara
03011;Alfàs del Pi, l'
03012;Algorfa
03013;Algueña
03014;Alicante/Alacant
03015;Almoradí
03016;Almudaina
03017;Alqueria d'Asnar, l'
03018;Altea
03019;Aspe
03001;Atzúbia, l'
03020;Balones
03021;Banyeres de Mariola
03022;Benasau
03023;Beneixama
03024;Benejúzar
03025;Benferri
03026;Beniarbeig
03027;Beniardá
03028;Beniarrés
03030;Benidoleig
03031;Benidorm
03032;Benifallim
03033;Benifato
03029;Benigembla
03034;Benijófar
50233;Samper del Salz
50247;Sobradiel
50248;Sos del Rey Católico
50249;Tabuenca
50250;Talamantes
50251;Tarazona
50252;Tauste
50253;Terrer
50254;Tierga
50255;Tobed
50256;Torralba de los Frailes
50267;Uncastillo
50268;Undués de Lerda
50269;Urrea de Jalón
50270;Urriés
50271;Used
50272;Utebo
50274;Val de San Martín
50273;Valdehorna
50279;Velilla de Jiloca
50295;Vistabella
50296;Zaida, La
50297;Zaragoza
50298;Zuera
51001;Ceuta
52001;Melilla
